,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000313,3401.0,395.0,6.0,0.0,1.0,48.42774975,0.01301886,1.17,1.05
1000314,2144.0,71.0,11.0,0.0,2.0,107.3483586,0.02633359,0.97,1.0
1000315,2579.0,103.0,7.25,0.0,2.75,14.25861838,0.00211433,0.96,0.84
1000316,1353.0,70.0,6.5,0.0,1.0,34.97581675,0.00566605,0.66,0.95
1000318,2202.0,187.0,13.5,0.0,3.75,49.270269,0.0097525,1.01,0.93
1000319,2691.0,185.0,7.25,0.0,2.0,21.137019,0.00505117,0.87,0.81
1000322,3361.0,112.0,15.25,0.0,2.25,71.8527705,0.01381748,0.92,0.95
1000323,1720.0,116.0,17.25,0.0,0.25,73.074716,0.01700698,1.02,0.85
1000324,3421.0,311.0,16.0,0.0,1.5,54.20414838,0.01283048,0.91,0.84
1000325,245.0,6.0,3.5,0.0,1.75,18.46890033,0.00266285,0.82,1.01
1000326,2297.0,250.0,1.5,0.0,0.0,35.79303442,0.00507284,0.76,0.75
1000327,3868.0,70.0,3.0,0.0,0.0,8.50313662,0.00251411,0.91,0.81
1000328,1987.0,179.0,1.0,0.0,1.0,15.6329435,0.00390511,0.98,0.98
1000330,1326.0,7.0,9.25,0.0,2.0,130.8347149,0.02915323,0.75,0.74
1000331,4052.0,338.0,24.25,0.0,2.0,92.95605325,0.02190123,1.18,1.0
1000334,3099.0,209.0,6.75,0.0,1.0,26.88564675,0.00647353,0.86,1.03
1000336,2022.0,65.0,12.25,0.0,1.0,141.1507363,0.03043453,0.98,0.94
1000337,2198.0,442.0,27.5,0.0,1.25,336.0069814,0.06293858,0.92,1.02
1000338,2941.0,284.0,10.75,0.0,0.0,52.48804675,0.01021842,1.07,1.06
1000339,3254.0,281.0,23.0,0.0,2.0,8.67884033,0.00221816,0.99,0.83
1000340,1403.0,13.0,7.25,0.0,0.0,63.93622288,0.01251693,0.83,0.81
