neighbor_code,분기당_매출_금액,2340대_매출금액
1000354,8.53712825,0.00205843
1000355,25.122302,0.00043741
1000356,101.0107893,0.02255656
1000357,16.6274235,0.00381748
1000358,31.99199714,0.00617497
1000359,150.935147,0.01954721
1000360,666.6129494,0.16573754
1000361,40.067522,0.00888435
1000362,19.88237088,0.00470586
1000363,39.616407,0.00775933
1000364,8.89847557,0.00134705
1000365,23.90019575,0.00623877
1000366,105.4138998,0.0215332
1000367,82.7648785,0.01040725
1000368,320.7639665,0.04764853
1000369,26.50890742,0.00585661
1000370,48.03695964,0.00854838
1000371,13.55719175,0.00316546
1000372,4.8232015,0.00088882
1000373,197.0225256,0.04902612
1000374,55.95284686,0.01019415
1000375,88.2705665,0.01858729
1000376,107.955094,0.02092658
1000377,84.61326708,0.02119989
1000378,62.70134225,0.01229291
1000379,69.94773238,0.0144037
1000380,247.7681917,0.06082008
1000381,80.32378192,0.01504493
1000382,15.33841056,0.00337843
1000383,15.866413,0.00409257
1000384,3.82678025,0.00093593
1000385,326.2925479,0.07994564
1000386,343.976474,0.07612841
1000387,107.5432685,0.0289661
1000388,13.6673212,0.00358634
1000389,12.45572225,0.00329556
1000390,23.2586635,0.00610788
1000391,29.35967775,0.00557465
1000392,60.1490038,0.01504982
1000393,109.7918196,0.02423058
1000394,130.22142,0.02849738
1000395,59.94929725,0.00879137
1000396,247.2643715,0.04740185
1000397,0,0
1000398,38.6462135,0.00967786
1000399,36.7115075,0.00833157
1000400,31.10932743,0.0076486
1000401,34.79071438,0.00761148
1000402,21.56423475,0.00491262
1000403,60.45385414,0.01345479
1000404,187.6494038,0.05399857
1000405,150.6869017,0.03991575
1000406,103.0250876,0.02776373
1000407,72.72240857,0.01420737
1000408,48.7710278,0.00862439
1000409,108.251178,0.02373158
1000410,6.81773167,0.00177375
1000411,147.4564571,0.03090757
1000412,84.66927714,0.01636649
1000413,30.18951833,0.0058778
1000414,0,0
1000415,109.3825943,0.02840574
1000416,28.23371288,0.00719801
1000417,58.92543125,0.00451225
1000418,91.69222588,0.02328486
1000419,38.91010525,0.00806575
1000420,2.222693,0.00038583
1000421,33.232857,0.00748114
1000422,4.8273145,0.00113326
1000423,17.91504271,0.00402447
1000424,4.9954395,0.00102584
1000426,37.16990238,0.00744917
1000427,10.36345225,0.00077947
1000428,16.4630955,0.00406869
1000429,44.77420988,0.00969658
1000430,37.76270769,0.00949527
1000431,2.08815867,0.00049345
1000432,27.16307133,0.00207559
1000433,227.5847693,0.04363474
1000435,215.7859284,0.04508152
1000436,19.267747,0.00392245
1000437,88.4316025,0.02227782
1000438,310.5991333,0.06988439
1000439,20.69378471,0.00362635
1000440,140.029204,0.0283879
1000441,74.49175825,0.01577365
1000442,52.24032467,0.01037048
1000444,38.24760757,0.0063801
1000445,83.80801925,0.02211421
1000446,42.26564112,0.01053246
1000447,394.8133897,0.09992406
1000448,25.56647612,0.00375418
1000449,86.20538967,0.02007013
1000450,37.50015775,0.00876553
1000451,322.3048433,0.06629924
1000452,217.0986271,0.0496511
1000454,76.54217694,0.01890853
1000455,75.59414912,0.0196867
1000456,76.665532,0.01909104
1000457,22.22969725,0.00497829
1000458,255.0478148,0.06356205
1000459,28.943551,0.00743849
1000460,106.0784976,0.01961473
1000461,1.37723875,0.00036769
1000462,228.2683319,0.04843658
1000463,7.070589,0.00157525
1000464,8.436116,0.00124119
1000465,442.4121183,0.12394639
1000466,91.76397242,0.02273559
1000467,61.296917,0.01326919
1000468,379.2703483,0.09812589
1000469,625.3450724,0.1589016
1000470,916.4480549,0.2735289
1000471,307.950421,0.05674751
1000472,127.5201259,0.02764955
